Date,Open,High,Low,Close,Volume,Price to Earnings Ratio,Price to Sales Ratio
2017-09-12,79.300,79.910,79.170,79.610,6004802,19.1370,0.4887,
2017-09-11,79.150,79.350,78.660,79.080,7000202,19.0100,0.4854,
2017-09-08,79.720,79.875,77.730,78.880,9999593,18.9620,0.4842,
2017-09-07,80.320,80.760,80.000,80.120,6820634,19.2600,0.4918,
2017-09-06,79.880,80.400,79.720,80.080,8425487,19.2500,0.4916,
2017-09-05,77.950,79.890,77.900,79.800,12068490,19.1830,0.4899,
2017-09-01,78.310,78.500,78.210,78.370,6474360,18.8390,0.4811,
2017-08-31,78.600,78.750,78.060,78.070,8194750,18.7670,0.4792,
2017-08-30,78.820,79.100,78.520,78.540,5829736,18.8800,0.4821,
2017-08-29,77.670,78.980,77.500,78.770,7661709,18.9350,0.4835,
2017-08-28,78.410,78.462,77.860,78.030,8621494,18.7570,0.4790,
2017-08-25,78.500,79.090,78.480,78.630,9902189,18.9010,0.4827,
2017-08-24,80.610,80.880,77.850,78.340,19128040,18.8320,0.4809,
2017-08-23,80.350,80.560,79.880,79.960,7799306,19.2210,0.4908,
2017-08-22,79.800,80.160,79.710,80.020,6546099,19.2360,0.4912,
2017-08-21,79.120,80.070,78.790,79.710,9613928,19.1610,0.4893,
2017-08-18,79.620,80.350,79.280,79.310,9752957,19.0650,0.4869,
2017-08-17,78.850,79.810,78.330,79.700,17106735,18.0730,0.4962,
2017-08-16,81.270,81.440,80.540,80.980,11513771,18.3630,0.5041,
2017-08-15,80.830,81.400,80.540,80.770,7066058,18.3150,0.5028,
2017-08-14,80.590,81.240,80.500,80.700,7792028,18.2990,0.5024,
2017-08-11,80.730,81.250,80.360,80.400,7905495,18.2310,0.5005,
2017-08-10,81.070,81.400,80.550,80.660,8044995,18.2900,0.5021,
2017-08-09,81.330,81.990,80.901,81.610,6606508,18.5060,0.5081,
2017-08-08,81.170,81.860,80.900,81.590,7380267,18.5010,0.5079,
2017-08-07,80.570,81.450,80.540,81.280,5484512,18.4310,0.5060,
2017-08-04,81.060,81.400,80.210,80.480,7136205,18.2490,0.5010,
2017-08-03,81.340,81.760,80.670,80.870,9946948,18.3380,0.5035,
2017-08-02,80.340,81.110,80.300,80.530,8673035,18.2610,0.5013,
2017-08-01,80.250,80.730,80.000,80.500,5708909,18.2540,0.5012,
2017-07-31,79.820,80.340,79.690,79.990,6244495,18.1380,0.4980,
2017-07-28,79.800,79.955,79.535,79.810,4975216,18.0980,0.4969,
2017-07-27,78.720,79.860,78.480,79.780,8052464,18.0910,0.4967,
2017-07-26,78.550,79.170,77.940,78.900,6716055,17.8910,0.4912,
2017-07-25,77.600,78.860,77.390,78.520,11503953,17.8050,0.4888,
2017-07-24,76.030,77.150,76.030,76.890,7384955,17.4350,0.4787,
2017-07-21,75.840,76.230,75.550,76.150,7153009,17.2680,0.4741,
2017-07-20,75.980,76.250,75.700,76.020,4954311,17.2380,0.4733,
2017-07-19,76.080,76.220,75.600,75.870,5308099,17.2040,0.4723,
2017-07-18,76.250,76.540,76.000,76.200,4314654,17.2790,0.4744,
2017-07-17,76.290,76.870,76.190,76.370,8835093,17.3170,0.4754,
2017-07-14,76.270,76.555,75.910,76.340,9151859,17.3110,0.4753,
2017-07-13,74.670,75.250,74.510,75.050,8160487,17.0180,0.4672,
2017-07-12,73.660,74.210,73.660,73.940,5700157,16.7660,0.4603,
2017-07-11,73.380,74.050,73.330,73.470,7532631,16.6600,0.4574,
2017-07-10,75.150,75.310,73.130,73.230,15066660,16.6050,0.4559,
2017-07-07,75.650,75.820,75.050,75.330,5122153,17.0820,0.4690,
2017-07-06,75.550,75.970,75.240,75.470,6161845,17.1130,0.4698,
2017-07-05,75.550,75.950,75.165,75.320,6037661,17.0790,0.4689,
2017-07-03,75.840,76.340,75.080,75.360,4848564,17.0880,0.4692,
2017-06-30,76.080,76.270,75.670,75.680,6963283,17.1610,0.4711,
2017-06-29,76.250,76.320,75.485,75.930,7063528,17.2180,0.4727,
2017-06-28,76.250,76.800,76.140,76.510,6988885,17.3490,0.4763,
2017-06-27,75.520,76.370,75.450,76.010,6454384,17.2360,0.4732,
2017-06-26,74.950,75.930,74.920,75.500,8587480,17.1200,0.4700,
2017-06-23,75.600,75.780,74.550,74.840,13080330,16.9710,0.4659,
2017-06-22,76.030,76.060,75.300,75.520,8111282,17.1250,0.4701,
2017-06-21,75.600,76.605,75.580,76.240,9011423,17.2880,0.4746,
2017-06-20,75.900,75.920,75.320,75.540,10019248,17.1290,0.4703,
2017-06-19,75.380,76.010,74.520,75.500,16095073,17.1200,0.4700,
2017-06-16,73.950,75.500,73.290,75.240,56233028,17.0610,0.4684,
2017-06-15,79.180,79.300,77.760,78.910,11297169,17.8930,0.4913,
2017-06-14,79.520,80.035,79.260,79.900,5006516,18.1180,0.4974,
2017-06-13,79.210,79.570,78.890,79.520,5528030,18.0320,0.4951,
2017-06-12,79.400,80.370,78.840,79.240,10410592,17.9680,0.4933,
2017-06-09,79.030,79.560,78.720,79.420,9405124,18.0090,0.4944,
2017-06-08,79.580,80.130,78.230,78.930,10933040,17.8980,0.4914,
2017-06-07,79.080,79.500,78.733,79.150,8511711,17.9480,0.4927,
2017-06-06,79.430,79.560,78.260,78.930,11525875,17.8980,0.4914,
2017-06-05,79.600,80.475,79.480,80.260,10145727,18.2000,0.4997,
2017-06-02,79.800,79.930,79.220,79.620,7996466,18.0540,0.4957,
2017-06-01,78.640,79.810,78.600,79.810,8153099,18.0980,0.4969,
2017-05-31,78.350,78.920,78.220,78.600,8201738,17.8230,0.4893,
2017-05-30,78.000,78.400,77.930,78.150,5410351,17.7210,0.4865,
2017-05-29,0.000,0.000,0.000,78.130,0,N/A,N/A
2017-05-26,78.370,78.540,77.790,78.130,6125781,17.7170,0.4864,
2017-05-25,78.360,78.850,78.150,78.310,6134952,17.7570,0.4875,
2017-05-24,78.560,78.605,78.140,78.150,7503976,17.7210,0.4865,
2017-05-23,78.580,78.970,78.440,78.490,7584938,17.7980,0.4886,
2017-05-22,78.650,79.000,78.295,78.550,8897554,17.8120,0.4890,
2017-05-19,77.970,79.440,77.770,78.770,18581716,17.8620,0.4904,
2017-05-18,76.890,77.660,76.130,77.540,19166800,17.6630,0.4891,
2017-05-17,75.050,75.730,74.960,75.120,10970970,17.1120,0.4739,
2017-05-16,76.190,76.270,75.080,75.110,8371802,17.1090,0.4738,
2017-05-15,75.800,76.470,75.800,76.290,8843873,17.3780,0.4813,
2017-05-12,75.890,76.250,75.370,75.710,5892910,17.2460,0.4776,
2017-05-11,76.350,76.720,75.925,76.130,8349403,17.3420,0.4802,
2017-05-10,76.330,76.780,76.190,76.700,7511921,17.4720,0.4838,
2017-05-09,76.440,77.050,76.330,76.720,8255282,17.4760,0.4840,
2017-05-08,76.500,76.520,76.070,76.120,6512180,17.3390,0.4802,
2017-05-05,76.420,76.604,76.180,76.500,5597759,17.4260,0.4826,
2017-05-04,75.930,76.395,75.830,76.340,5500802,17.3900,0.4816,
2017-05-03,75.400,75.880,75.177,75.760,5523624,17.2570,0.4779,
2017-05-02,75.300,75.710,75.250,75.520,7318362,17.2030,0.4764,
2017-05-01,75.190,75.715,75.090,75.230,6165912,17.1370,0.4746,
2017-04-28,75.300,75.440,74.930,75.180,7330420,17.1250,0.4743,
2017-04-27,75.540,75.700,75.020,75.440,6052219,17.1850,0.4759,
2017-04-26,75.270,75.766,75.170,75.430,6948460,17.1820,0.4758,
2017-04-25,74.970,75.170,74.860,75.050,5720364,17.0960,0.4734,
2017-04-24,75.080,75.400,74.420,74.780,7812524,17.0340,0.4717,
2017-04-21,74.740,75.110,74.600,74.940,5755691,17.0710,0.4727,
2017-04-20,74.140,75.110,74.110,74.800,7681252,17.0390,0.4719,
2017-04-19,74.100,74.380,73.860,74.070,5940609,16.8720,0.4673,
2017-04-18,73.540,74.100,73.480,73.890,6627986,16.8310,0.4661,
2017-04-17,73.160,73.580,73.150,73.490,5465408,16.7400,0.4636,
2017-04-14,0.000,0.000,0.000,73.150,0,N/A,N/A
2017-04-13,73.370,73.655,73.150,73.150,5336428,16.6630,0.4614,
2017-04-12,73.550,73.830,73.250,73.440,6627297,16.7290,0.4633,
2017-04-11,73.000,73.450,72.930,73.430,5810458,16.7270,0.4632,
2017-04-10,72.990,73.480,72.730,73.060,7495948,16.6420,0.4609,
2017-04-07,72.120,72.990,71.800,72.900,10768016,16.6060,0.4599,
2017-04-06,71.710,72.100,71.380,71.430,5941103,16.2710,0.4506,
2017-04-05,71.640,72.310,71.555,71.650,6354492,16.3210,0.4520,
2017-04-04,71.740,72.060,71.532,72.010,5567317,16.4030,0.4543,
2017-04-03,72.080,72.530,71.780,71.830,8291283,16.3620,0.4531,
2017-03-31,71.320,72.560,71.230,72.080,9939780,16.4190,0.4547,
2017-03-30,70.690,71.720,70.640,71.590,8141535,16.3080,0.4516,
2017-03-29,70.350,71.180,70.310,70.740,6991046,16.1140,0.4462,
2017-03-28,69.330,70.370,69.330,70.320,7252189,16.0180,0.4436,
2017-03-27,69.520,70.070,69.360,69.660,5792586,15.8680,0.4394,
2017-03-24,69.990,70.170,69.527,69.610,5858968,15.8560,0.4391,
2017-03-23,70.200,70.310,69.745,69.860,6898774,15.9130,0.4407,
2017-03-22,70.030,70.340,69.720,70.250,6455594,16.0020,0.4432,
2017-03-21,70.170,70.400,69.690,69.900,8746812,15.9230,0.4409,
2017-03-20,70.140,70.450,69.710,69.980,7466226,15.9410,0.4415,
2017-03-17,70.580,70.750,69.810,69.890,14078353,15.9200,0.4409,
2017-03-16,70.110,70.700,70.070,70.440,7060977,16.0460,0.4444,
2017-03-15,70.500,70.700,70.020,70.580,8813794,16.0770,0.4452,
2017-03-14,70.820,71.205,70.720,70.720,9958370,16.1090,0.4461,
2017-03-13,69.990,70.450,69.710,69.950,6802511,15.9340,0.4413,
2017-03-10,70.000,70.365,69.800,70.100,7098829,15.9680,0.4422,
2017-03-09,69.750,70.040,69.560,69.860,7564480,15.9130,0.4407,
2017-03-08,69.670,70.030,69.540,69.800,7979841,15.9000,0.4403,
2017-03-07,69.900,70.210,69.860,69.870,7282861,15.9160,0.4408,
2017-03-06,70.000,70.435,69.780,69.880,9182575,15.9180,0.4408,
2017-03-03,70.810,71.020,69.880,70.030,9303591,15.9520,0.4418,
